objectid,filename,title,format,description,creator,publisher-digital,date,date-is-approximate?,item_information,subject,
jrhfn_001,"1983 Turner, Nancy J. et al.  Ethnobotany of the Nitinaht Indians of Vancouver Island cs.pdf","Ethnobotany of the
Nitinaht Indians of Vancouver Island",application/pdf,Description to be added,,,1983,,book,ethnobotany; Nitinaht; Vancouver Island; Indigenous,
jrnphhp_001,(1978) Sunishine coastnews- 1-4 - BC Hydro hearing for using 2-4-D chemical to spray righ away.pdf,Dow Chemical Here to Defend Spraying,application/pdf,Description to be added,Ian Corrance,The Sunshine Coast News,1978-05-16,,news article,Dow Chemicals; Herbicides; Pesticides Hydro; Hydroelectric; ,
jrnphhp_002,(1980) sunchine coast 23-3 BC Hydro employee charged for misleading the public about pesticide control act sparying bt JR and sooke.pdf,Wildlife Corner,application/pdf,Description to be added,Ian Corrance,The Sunshine Coast News,1980-11-11,,news article,Dow Chemicals; Herbicides; Pesticides; Hydro; Hydroelectric,
jrnphhp_003,"TC 1979, BC Hydro staff queried on poison control.pdf",Hydro staff queried on poison control,application/pdf,Description to be added,Times Colonist,Times Colonist,1979-06-28,,news article,BC Hydro; Tordon 10K; Poison; Herbicides; Pesticides; Hydro; Hydroelectric,
jrnphhp_004,"TC 1980, Hydro 24D draws Sooke protest.pdf",Hydro 24D draws Sooke protest,application/pdf,Description to be added,Brenda Dalglish,Times Colonist,1980-05-08,,news article,"BC Hydro; 24D; Poison; Herbicides; Pesticides; Hydro; Hydroelectric, Protest, Sooke, Indigenous ",
jrnph1920-40_001,(1920) BC FED 3-1 info on New Bunks built in JR.pdf,News of the Lumber Workers Industrial Unit of the O.B.U.,application/pdf,Description to be added,The British Colombia Federationist,The British Colombia Federationist,1920-01-28,,news article,1920-1940; Hydro,
jrnph1940-69_001,(1961)coastnews 12-1 handover of JR water power from BCE to BCH.pdf,BCE  change-over for New Year's Eve,application/pdf,Description to be added,Coast News ,Coast News ,1961-12-21,,news article,1940-1969; Hydro,
jrnph1970-90_001,Daily Colonist (1970_08_30) Power Play.pdf,Power Play on the Jordan ,application/pdf,Description to be added,Daily Colonist,Daily Colonist,1970-08-30,,news article,1970-1990; Hydro,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,1970-1990
